pmEvent Name,Event Id,Event Type,Event Description and Trigger,Message Trace Depth (UE Trace),Interface Classification,OSS protocol definition (not used by eNB). Used for grouping pmEvents into groups in the Cell traceGUI (and sent by PMS/OSS at configuration/filter for a scanner),OSS Event Groups,Pico Support (Y/N),Deprecated since
INTERNAL_EVENT_RETAIN_UECTXT_HIGH_ARP_DRB,5263,UE,Triggered when a Ue Context release is avoided when a low ARP prioritized DRB is discovering an RLC DL Delivery Failure in a connection with high ARP prioritized DRB.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_RIM_RAN_INFORMATION_RECEIVED,5201,RBS,A RIM RAN Information message with an updated NACC has been successfully received.,"1,2,4,5",UU,INTERNAL,,N,
INTERNAL_EVENT_RIM_RAN_INFORMATION_SENT,5247,RBS,A RIM RAN Information message has been sent,"1,2,4,5",UU,INTERNAL,,N,
INTERNAL_EVENT_RIM_RAN_STATUS_CHANGED,5251,RBS,Triggered when status of RIM association change from INACTIVE to ACTIVE or vice versa.,"1,2,4,5",UU,INTERNAL,,N,
INTERNAL_EVENT_RRC_CONNECTION_QUEUE_ATT,5303,UE,RRC connection request is taken from the admission queue and a connection attempt is made,"2,5",UU,INTERNAL,,N,20.Q3
INTERNAL_EVENT_RRC_CONNECTION_RELEASE_FAIL_NB,5310,UE,"The event is generated as below two case:
1. When HARQ-ACK is not received after sending RrcConnectionRelease-NB
2. When rlcDeliveryFailureInd is received after sending RrcConnectionRelease-NB","0,2,3,5",UU,EXTERNAL,,N,
INTERNAL_EVENT_RRC_CONN_REQ_QUEUED,5304,UE,When an RRC connection request enters the admission queue.,"2,5",UU,INTERNAL,,N,20.Q3
INTERNAL_EVENT_RRC_ERROR,5120,UE,An RRC message decoding problem has been detected,"0,1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_RRC_ERROR_NB,5277,UE,An RRC message decoding problem has been detected,"0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_RRC_RECONF_CATM_DATA_INACTIVITY_TIMER,5319,UE,Generated when Data Inactivity Timer is activated for CAT-M UEs.,0,UU,INTERNAL,,N,
INTERNAL_EVENT_RRC_SCELL_CONFIG,5307,UE,"Triggered each time an SCell is successfully configured, whether another configuration follows or not.",2,UU,INTERNAL,"CCTR,SESSION_PERFORMANCE_EVALUATION",N,
INTERNAL_EVENT_RRC_SCELL_DECONFIGURED,5278,UE,"Triggered each time an SCell is successfully deconfigured, whether another configuration follows or not.",2,UU,INTERNAL,"CCTR,SESSION_PERFORMANCE_EVALUATION",N,
INTERNAL_EVENT_RRC_UE_INFORMATION,5207,UE,RRC message sent when an UE responds to an UE Information request,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_S1AP_PROTOCOL_ERROR,5124,RBS,"A faulty S1AP message was received. Possible fault causes are: protocol error, ASN.1 violation, encoding error, message type non-exists or not implemented.","2,5",S1,INTERNAL,,Y,
INTERNAL_EVENT_S1_ERROR_INDICATION,5209,RBS,S1_ERROR_INDICATION received or sent over a common channel/dedicated channel/stream. See 3GPP 36.413 section 9.2.1.3. Note that this local event is NOT mapped to an external pmEvent. Used to extract CAUSE values.,"1,2,3",S1,INTERNAL,,Y,
INTERNAL_EVENT_S1_NAS_NON_DELIVERY_INDICATION,5208,UE,NAS_NON_DELIVERY_INDICATION sent. See 3GPP 36.413 section 9.2.1.3 Note that this local event is NOT mapped to an external pmEvent. Used to extract CAUSE values.,"1,2,3",S1,INTERNAL,,Y,
INTERNAL_EVENT_SCELL_ASM_CANDIDATE,5313,Cell,Triggered by Automatic Scell Management when SCell has changed status to CANDIDATE from any other state.,,,INTERNAL,,N,
INTERNAL_EVENT_SCELL_CANDIDATE_ADD,5311,Cell,Triggered when attribute asmStatus is set to ALLOWED or ONLY_ALOWED_FOR_DL by Automatic SCell Management function.,,,INTERNAL,,N,
INTERNAL_EVENT_SCELL_CANDIDATE_REMOVE,5312,Cell,"Triggered when attribute asmStatus is changed from ALLOWED or ONLY_ALOWED_FOR_DL to any other value, by Automatic SCell Management function.",,,INTERNAL,,N,
INTERNAL_EVENT_SON_OSCILLATION_DETECTED,5196,Cell,The eNB detected an oscillating HO. Note that HOs prevented by the UE Level Oscillating HO Minimization does not trigger this event.,"1,2,4,5",UU,INTERNAL,,N,
INTERNAL_EVENT_SON_UE_OSCILLATION_PREVENTED,5195,Cell,UE Level Oscillating HO Minimization prevented a handover.,"1,2,4,5",UU,INTERNAL,,N,
INTERNAL_EVENT_SPID_PRIORITY_IGNORED,5200,UE,Sent when the SPID configuration doesn't match any valid frequency relation in eNB and cannot be used for measurements or release with redirects. Default frequency priorities are used instead.,"1,2","S1,X2",INTERNAL,,Y,
INTERNAL_EVENT_TOO_EARLY_HO,5203,Cell,Sent when the eNB detects a too early HO as defined in 3GPP TS 36.300,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_TOO_LATE_HO,5204,Cell,Sent when the eNB detects a too late HO as defined in 3GPP TS 36.300,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_UETR_MEASUREMENT_REPORT_RECEIVED,5240,UE,When the measurement report is received in measurement context,2,UU,INTERNAL,UETR_ONLY,Y,
INTERNAL_EVENT_UETR_RRC_SCELL_CONFIG,5308,UE,"Triggered each time an SCell is successfully configured, whether another configuration follows or not.","1,2",UU,INTERNAL,UETR_ONLY,N,
INTERNAL_EVENT_UETR_RRC_SCELL_DECONFIGURED,5241,UE,"Triggered each time an SCell is successfully deconfigured, whether another configuration follows or not.","1,2",UU,INTERNAL,UETR_ONLY,Y,
INTERNAL_EVENT_UE_ANR_CONFIG_PCI,5148,UE,When the Automatic Neighbor Relation (ANR) function initiated a Physical Cell Identity (PCI) measurement in the UE.,"0,1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_UE_ANR_CONFIG_PCI_REMOVE,5227,UE,When the Automatic Neighbor Relation (ANR) function removes a Physical Cell Identity (PCI) measurement in the UE.,"0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_UE_ANR_PCI_REPORT,5149,UE,A report was received from the UE in response to an Automatic Neighbor Relation (ANR) initiated Physical Cell Identity (PCI) measurement.,"0,1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_UE_CAPABILITY,5172,UE,Event is generated at UE Context setup and contains UE capabilities according to the EventParams,"0,1,2",UU,INTERNAL,"CCTR, SESSION_PERFORMANCE_EVALUATION",Y,
INTERNAL_EVENT_UE_ENDC_HO_MEAS,5299,UE,Triggered when a measurement report is received in connection with EN-DC triggered HO.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_UE_ENDC_HO_QUAL,5298,UE,Triggered when a measurement report is received in connection with EN-DC triggered HO and fufills RSRP and RSRQ requirements.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_UE_LB_MEAS,5243,UE,"The event is triggered when the UE has been selected for measurements in connection with load balancing, Carrier Aggregation triggered redirection or the function best neighbour relation for load balancing","1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_UE_LB_QUAL,5242,UE,"The event is triggered when a measurement report is received in connection with load balancing, Carrier Aggregation triggered redirection, or Admission-Triggered Offload","1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_UE_MEAS_FAILURE,5157,UE,Used when a measurement fails by the UE or the eNodeB. This event is always active thus never requires to be activated in a profile or scanner to be generated.,2,UU,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_UE_MOBILITY_EVAL,5193,UE,Mobility trigger and decision information has occurred,"1,2",UU,INTERNAL,"CCTR,HANDOVER_EVALUATION",Y,
INTERNAL_EVENT_UE_MR_PHR_NB,5293,UE,Event is generated when get UE's power class from ue capability,,,INTERNAL,,N,
INTERNAL_EVENT_UNEXPECTED_RRC_MSG,5131,UE,"An uplink RRC message was discarded because it was received in an unexpected state. That is,  no active process could accept the RRC message","0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_UNEXPECTED_S1X2_MSG,5294,UE,"When S1/X2 message was discarded because it was received in an unexpected state. That is, no active process could accept the S1/X2 message.","2,5","S1,X2",INTERNAL,,N,
INTERNAL_EVENT_WIFI_MOBILITY_EVAL_CONNECTED,5245,UE,Sent when the eNB attempts to evaluate whether the UE in RRC_CONNECTED state should be allowed or rejected to access a WiFi cell where the UE is currently requesting access or where the UE is currently connected and experiencing bad quality.,"1,2",,INTERNAL,WIFI,Y,
INTERNAL_EVENT_WIFI_MOBILITY_EVAL_IDLE,5246,RBS,Sent when the eNB sends the throughput estimated in the requested cells in this eNB when a UE in IDLE mode is requesting access to a WiFi cell covered by some of the cells in this eNB.,"1,2",,INTERNAL,WIFI,Y,
INTERNAL_EVENT_X2AP_PROTOCOL_ERROR,5137,RBS,"A faulty X2AP message was received. Possible fault causes are: protocol error, ASN.1 violation, encoding error, message type non-exists or not implemented.",2,X2,INTERNAL,,Y,
INTERNAL_EVENT_X2_CONN_RELEASE,5136,RBS,"The X2 connection to another eNodeB has ended, either released by the local or remote node, or simply lost.",2,X2,INTERNAL,,Y,
INTERNAL_EVENT_X2_ERROR_INDICATION,5210,RBS,X2_ERROR_INDICATION received or sent over a common channel/dedicated channel/stream. See 3GPP 36.423 section 9.2.6. Note that this local event is not mapped to an external pmEvent. Used to extract CAUSE values.,"1,2,3",X2,INTERNAL,,Y,
INTERNAL_PER_BB_EENB_EVENT,3121,RBS,Measurements of the radio environment. Measurements are measured continuously,,,INTERNAL,CCTR,N,
INTERNAL_PER_BRANCH_UL_NOISEINTERF_REPORT,3110,Cell,Measurements of received noise and interference power. Measurements are measured continuously.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_BRANCH_UPPTS_UL_INTERFERENCE_REPORT,3119,Cell,"This event reports the accumulated noise and interference power per symbol(1,2) and per PRB(1~100) for UpPTS of TDD configuration on the antenna branch over the measurement period. (CellTR)",,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_CAP_LICENSE_UTIL_REP,3078,RBS,Measurements from BaseBand on a BaseBand module level,,,INTERNAL_PERIODIC,CAPACITY_MANAGEMENT_EVALUATION,N,
INTERNAL_PER_CAP_LICENSE_UTIL_REP_NODE,3149,RBS,Measurements from BaseBand oNode level,,,INTERNAL_PERIODIC,CAPACITY_MANAGEMENT_EVALUATION,N,
INTERNAL_PER_CELLGROUP_MEAS_REPORT,3123,RBS,Resource usage per measurement group on cell basis,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_CELL_BUCKET_REPORT,3122,Cell,Resource usage per cell resource partition,,,INTERNAL_PERIODIC,,N,18.Q2
INTERNAL_PER_CELL_DL_EMPTY_SUBFRAME,3146,Cell,Measurements of radio environment measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_CELL_DUCT_INTERFERENCE_REPORT,3132,Cell,Continuous measurements of radio environment.,,,INTERNAL,,N,
INTERNAL_PER_CELL_MDT_M3_REPORT,3114,Cell,The distribution of received interference power is measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_CELL_NOISEINTERF_SC_NB_REPORT,3128,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL,,N,
INTERNAL_PER_CELL_PAGING_ATTEMPT_COUNT,3143,Cell,Measurements of radio environment measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_CELL_QCI_TRAFFIC_REP,3086,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,,Y,
INTERNAL_PER_CELL_TRAFFIC_REPORT,3079,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PER_CELL_TRAFFIC_REPORT2,3125,Cell,Continuous measurements of radio environment.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_CELL_TRAFFIC_REPORT3,3140,Cell,Measurements of radio environment measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_DUCT_INTERFERENCE_REPORT,3127,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL,,N,20.Q2
INTERNAL_PER_EVENT_CMAS_REPET_COMPL,3107,Cell,A repetition of a Commercial Mobile Alert System (CMAS) message has been completed. A repetition comprises a number of SIB12 transmissions with one paging cycle at the start and one paging cycle after stop  of transmission.,"1,2",S1,INTERNAL_PERIODIC,,Y,
INTERNAL_PER_EVENT_ETWS_REPET_COMPL,3106,Cell,"A repetition of a Secondary Earthquake and Tsunami Warning System (ETWS) message has been completed. A repetition comprises one paging message, with ""etws-Indication"" set, sent during one full paging cycle.","1,2",S1,INTERNAL_PERIODIC,,Y,
INTERNAL_PER_PARTITION_REPORT,3117,Cell,Resource usage per partition and resource type during a measurement period.,,,INTERNAL_PERIODIC,CCTR,N,
INTERNAL_PER_PRB_LICENSE_UTIL_REP,3085,RBS,Measurements from BaseBand on a BaseBand module level,,,INTERNAL_PERIODIC,CAPACITY_MANAGEMENT_EVALUATION,N,
INTERNAL_PER_PROCESSOR_LOAD,3084,RBS,Histogram of CPU load moving average calculated with max number of CPU cores.,,,INTERNAL_PERIODIC,"CAPACITY_MANAGEMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_PROCESSOR_LOAD_DYN,3139,RBS,Histogram of CPU load moving average calculated with current number of CPU cores.,,,INTERNAL_PERIODIC,"CAPACITY_MANAGEMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_RADIO_CELL_CQI_SUBBAND,3089,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PER_RADIO_CELL_MEASUREMENT,3081,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"CCTR,SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PER_RADIO_CELL_MEASUREMENT_TDD,3083,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_PER_RADIO_CELL_NOISE_INTERFERENCE_PRB,3088,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"SESSION_PERFORMANCE_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PER_RADIO_UE_MEASUREMENT,3075,UE,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"CCTR,SESSION_PERFORMANCE_EVALUATION,RDT",Y,
INTERNAL_PER_RADIO_UE_MEASUREMENT_NB,3109,UE,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_RADIO_UE_MEASUREMENT_TA,3108,UE,UE level measurements with Timing Alignment information sent periodically (approximately 1 per minute- 60 samples),,,INTERNAL_PERIODIC,"CCTR,SESSION_PERFORMANCE_EVALUATION,RDT",N,
INTERNAL_PER_RADIO_UTILIZATION,3072,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"CCTR,CAPACITY_MANAGEMENT_EVALUATION",Y,
INTERNAL_PER_RADIO_UTILIZATION2,3134,Cell,Continuous measurements of radio environment.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_RADIO_UTILIZATION3,3141,Cell,Measurements of radio environment measured continuously.,,,INTERNAL_PERIODIC,"CCTR,CAPACITY_MANAGEMENT_EVALUATION",N,
INTERNAL_PER_RRC_CONNECTED_UE,3124,Cell,Triggered every 1 sec. Provides the number of RRC Connected UEs in the cell at the time of the event.,"1,2",,INTERNAL_PERIODIC,,N,19.Q1
INTERNAL_PER_RRC_SCELL_CONFIG_INFO,3135,Cell,Triggered periodically with aggregated value of each CA configuration per Primary-Secondary Cell pair.,2,UU,INTERNAL,"CCTR,SESSION_PERFORMANCE_EVALUATION",N,
INTERNAL_PER_SCELL_DET_ESTIMATION,3137,Cell,Contains SCell evaluation information of cell relations needed for Automatic Scell Management support.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_SECTORCARRIER_EMF_POWER_CONTROL,3136,Cell,This event provide measurements for a sector(coverage area) of certain carrier frequency.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_SHARING_GROUP_REPORT,5297,RBS,Measurements of the spectrum sharing group performance,"2,5",,INTERNAL,,N,
INTERNAL_PER_THROUGHPUT_CELL_REPORT,5326,Cell,Continuous measurements of radio environment.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_UETR_BRANCH_UL_NOISEINTERF_REPORT,3111,Cell,Measurements of received noise and interference power. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_BRANCH_UPPTS_UL_INTERFERENCE_REPORT,3120,Cell,"This event reports the accumulated noise and interference power per symbol(1,2) and per PRB(1~100) for UpPTS of TDD configuration on the antenna branch over the measurement period. (UETR)",2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CAP_LICENSE_UTIL_REP,3097,RBS,Measurements from BaseBand on a BaseBand module level,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CAP_LICENSE_UTIL_REP_NODE,3148,RBS,Measurements from BaseBand oNode level,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_DL_EMPTY_SUBFRAME,3147,Cell,Measurements of radio environment measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_PAGING_ATTEMPT_COUNT,3145,Cell,Measurements of radio environment measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_QCI_TRAFFIC_REP,3095,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_TRAFFIC_REPORT,3099,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_TRAFFIC_REPORT2,3126,Cell,Continuous measurements of radio environment.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_CELL_TRAFFIC_REPORT3,3144,Cell,Measurements of radio environment measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_PARTITION_REPORT,3118,Cell,Resource usage per partition and resource type during a measurement period.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_PRB_LICENSE_UTIL_REP,3098,RBS,Measurements from BaseBand on a BaseBand module level,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_CELL_CQI_SUBBAND,3103,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_CELL_MEASUREMENT,3101,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_CELL_MEASUREMENT_TDD,3105,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_CELL_NOISE_INTERFERENCE_PRB,3102,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_UE_MEASUREMENT,3092,UE,Measurements of the radio environment. Measurements are measured continuously.,"1,2",UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_UTILIZATION,3090,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_RADIO_UTILIZATION2,3133,Cell,Continuous measurements of radio environment.,,,INTERNAL_PERIODIC,,N,
INTERNAL_PER_UETR_RADIO_UTILIZATION3,3142,Cell,Measurements of radio environment measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_UE_ACTIVE_SESSION_TIME,3091,Cell,Measurements of the radio environment. Measurements are measured continuously.,2,UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_UE_LCG_TRAFFIC_REP,3096,UE,Measurements of the radio environment. Measurements are measured continuously.,"1,2",UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_UE_RB_TRAFFIC_REP,3094,UE,Measurements of the radio environment. Measurements are measured continuously.,"1,2",UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UETR_UE_TRAFFIC_REP,3093,UE,Measurements of the radio environment. Measurements are measured continuously.,"1,2",UU,INTERNAL_PERIODIC,UETR_ONLY,N,
INTERNAL_PER_UE_ACTIVE_SESSION_TIME,3074,Cell,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,,Y,
INTERNAL_PER_UE_LCG_TRAFFIC_REP,3087,UE,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,,Y,
INTERNAL_PER_UE_MDT_M1_REPORT,3112,UE,Triggered when eNB receives the MDT measurement report from an UE.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M2_REPORT,3113,UE,Power Headroom information is measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M4_REPORT,3115,UE,DL and UL volumes are measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M5_REPORT,3116,UE,Scheduled IP Throughput is measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M6_DL_REPORT,3130,UE,Packet Delay is measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M6_UL_REPORT,3129,UE,Triggered when eNB receives the MDT measurement report from an UE.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_MDT_M7_REPORT,3131,UE,Packet Loss rate is measured for the measurement period and sent periodically.,,,INTERNAL_PERIODIC,MDT,N,
INTERNAL_PER_UE_RB_TRAFFIC_REP,3077,UE,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"CCTR,SESSION_PERFORMANCE_EVALUATION",Y,
INTERNAL_PER_UE_TRAFFIC_REP,3076,UE,Measurements of the radio environment. Measurements are measured continuously.,,,INTERNAL_PERIODIC,"CCTR,SESSION_PERFORMANCE_EVALUATION",Y,
INTERNAL_PROC_ANR_CGI_REPORT,4117,UE,Generated for the procedure to request and receive CGI measurements for ANR,"0,1,2",UU,INTERNAL,,Y,
INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,4139,UE,Generated for the procedure to request and receive CGI measurements for ANR PCI Conflict,"0,1,2",UU,INTERNAL,,N,
INTERNAL_PROC_CELL_SLEEP_TRIGGERED,4135,Cell,Triggered whenever the cell is about to enter sleep state. This event is reported on capacity cells enabled with cell sleep mode.,,,INTERNAL,,N,
INTERNAL_PROC_CSG_CELL_CGI_REPORT,4138,UE,Generated for the procedure to request and receive CGI measurements for CSG Cells or Hybrid CSG Cells.,"0,1,2",UU,INTERNAL,,N,
INTERNAL_PROC_DNS_LOOKUP,4107,RBS,Generated for a DNS Lookup procedure on S1. Contains information about the request and result,,,INTERNAL,,N,
INTERNAL_PROC_ENDC_X2_SETUP,4145,RBS,Generated for a EN-DC X2 Connection Setup procedure. Contains information about the request and result,2,X2,INTERNAL,,N,
INTERNAL_PROC_ENDC_X2_TGNB_CONF_LOOKUP,4154,RBS,"When a requested EN-DC X2 IP address of a target gNB is received for automatic direct IPsec, if the EN-DC X2 message EN-DC CONFIGURATION TRANSFER contains a EN-DC SON information reply for automatic direct IPsec.",2,X2,INTERNAL,,N,
INTERNAL_PROC_ERAB_MODIFY,4122,UE,Generated for the E-RAB Modify procedure (36.413) to modify the settings of existing  E-RABs. Contains information about the request and result.,"0,1,2",S1,INTERNAL,,Y,
INTERNAL_PROC_ERAB_RELEASE,4114,UE,Generated for the ERAB release procedure (36.413) to release ERABs. Contains information about the request and result,"0,1,2",S1,INTERNAL,CCTR,Y,
INTERNAL_PROC_ERAB_SETUP,4099,UE,Generated for the ERAB setup procedure (36.413) to establish additional ERABs. Contains information about the request and result.,"0,1,2",S1,INTERNAL,"CCTR,SESSION_ESTABLISHMENT_EVALUATION",Y,
INTERNAL_PROC_HO_EXEC_S1_IN,4105,UE,Generated for an incoming Handover execution procedure on S1. Contains information about the execution and result. Parameter EVENT_PARAM_RANDOM_ACCESS_TYPE value can be UNAVAILABLE when Handover is cancelled before Random Access phase i.e. when the procedure is stopped by S1UeContextReleaseCommand,"0,1,2","S1,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION",Y,
INTERNAL_PROC_HO_EXEC_S1_OUT,4104,UE,Generated for outgoing handover execution procedure on S1 interface. Contains information about execution and result.,"0,1,2","S1,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_HO_EXEC_X2_IN,4113,UE,Generated for an incoming Handover execution procedure on X2. Contains information about the execution and result. Parameter EVENT_PARAM_RANDOM_ACCESS_TYPE value can be UNAVAILABLE when Handover is cancelled before Random Access phase i.e. when the procedure is stopped by RRCConnectionReconfiguration response timeout.,"0,1,2","X2,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION",Y,
INTERNAL_PROC_HO_EXEC_X2_OUT,4112,UE,Generated for an outgoing Handover execution procedure on X2. Contains information about the execution and result,"0,1,2","X2,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_HO_PREP_S1_IN,4103,UE,Generated for an incoming Handover preparation procedure on S1. Contains information about the preparation and result,"0,1,2","S1,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION",Y,
INTERNAL_PROC_HO_PREP_S1_OUT,4102,UE,Generated for outgoing handover preparation procedure on S1 interface. Contains information about preparation and result.,"0,1,2","S1,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_HO_PREP_X2_IN,4111,UE,Generated for an incoming Handover preparation procedure on X2. Contains information about the preparation and result,"0,1,2","X2,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION",Y,
INTERNAL_PROC_HO_PREP_X2_OUT,4110,UE,Generated for an outgoing Handover preparation procedure on X2. Contains information about the preparation and result,"0,1,2","X2,UU",INTERNAL,"CCTR,HANDOVER_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_INITIAL_CTXT_SETUP,4106,UE,Generated for the S1 UE Context Setup procedure to establish an Initial UE Context. Contains information about the request and result.,"0,1,2","S1,UU",INTERNAL,"CCTR,SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_INTRA_CELL_HO_EXEC_OUT,4148,UE,Generated for outgoing intra-cell handover execution procedure. Contains information about triggers and result.,"2,5",UU,INTERNAL,,N,20.Q2
INTERNAL_PROC_INTRA_CELL_HO_PREP_OUT,4149,UE,Generated for outgoing intra-cell handover preparation procedure. Contains information about triggers and result .,"2,5",UU,INTERNAL,,N,
