Event Parameter Name,ARRAY Sub-parameter Name,Parameter Description,Parameter Size,Parameter Type,Logical value,Literal value,Parameter Resolution,Parameter Unit,Deprecated Since
EVENT_PARAM_ML_IMC_NEIGHBOR_PHYSICAL_CELLID_8,,"The physical cell identity for machine learning  purposes, for the 8th cell of the intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_1,,"The RSRP measurement for machine learning  purposes, for the 1st cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_2,,"The RSRP measurement for machine learning  purposes, for the 2nd cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_3,,"The RSRP measurement for machine learning  purposes, for the 3rd cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_4,,"The RSRP measurement for machine learning  purposes, for the 4th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_5,,"The RSRP measurement for machine learning  purposes, for the 5th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_6,,"The RSRP measurement for machine learning  purposes, for the 6th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_7,,"The RSRP measurement for machine learning  purposes, for the 7th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRP_8,,"The RSRP measurement for machine learning  purposes, for the 8th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_1,,"The RSRQ measurement for machine learning  purposes, for the 1st cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_2,,"The RSRQ measurement for machine learning  purposes, for the 2nd cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_3,,"The RSRQ measurement for machine learning  purposes, for the 3rd cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_4,,"The RSRQ measurement for machine learning  purposes, for the 4th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_5,,"The RSRQ measurement for machine learning  purposes, for the 5th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_6,,"The RSRQ measurement for machine learning  purposes, for the 6th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_7,,"The RSRQ measurement for machine learning  purposes, for the 7th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_NEIGHBOR_RSRQ_8,,"The RSRQ measurement for machine learning  purposes, for the 8th cell of the intra-frequency A4 report that the UE measurement is for.",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_RSRPSERVING_A1,,"The RSRP measurement result for machine learning purposes, for  the serving cell during A1 measurement in the report. See 3GPP 36.331",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_RSRPSERVING_A4,,"The RSRP measurement result for machine learning purposes, for  the serving cell during A4 measurement in the report. See 3GPP 36.331",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_RSRQSERVING_A1,,"The RSRQ measurement result for machine learning purposes, for  the serving cell during A1 measurement in the report. See 3GPP 36.331",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_RSRQSERVING_A4,,"The RSRQ measurement result for machine learning purposes, for  the serving cell during A4 measurement in the report. See 3GPP 36.331",1,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_SERVING_PHYSICAL_CELLID,,"The physical cell identity for machine learning  purposes the cell that the UE measurement is for, serving cell in report.",2,UINT,,,1.0,,
EVENT_PARAM_ML_IMC_TA,,This parameter indicates the timing advance (TA) value collected from BB to RAC for the machine learning (ML) prediction input vector,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_1,,This parameter indicates if the 1st inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_1,,This parameter indicates if the 1st inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_1,,This parameter indicates if the 1st inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_10,,This parameter indicates if the 10th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_10,,This parameter indicates if the 10th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_10,,This parameter indicates if the 10th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_11,,This parameter indicates if the 11th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_11,,This parameter indicates if the 11th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_11,,This parameter indicates if the 11th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_12,,This parameter indicates if the 12th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_12,,This parameter indicates if the 12th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_12,,This parameter indicates if the 12th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_13,,This parameter indicates if the 13th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_13,,This parameter indicates if the 13th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_13,,This parameter indicates if the 13th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_14,,This parameter indicates if the 14th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_14,,This parameter indicates if the 14th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_14,,This parameter indicates if the 14th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_15,,This parameter indicates if the 15th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_15,,This parameter indicates if the 15th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_15,,This parameter indicates if the 15th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_16,,This parameter indicates if the 16th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_16,,This parameter indicates if the 16th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_16,,This parameter indicates if the 16th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_2,,This parameter indicates if the 2nd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_2,,This parameter indicates if the 2nd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_2,,This parameter indicates if the 2nd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_3,,This parameter indicates if the 3rd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_3,,This parameter indicates if the 3rd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_3,,This parameter indicates if the 3rd inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_4,,This parameter indicates if the 4th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_4,,This parameter indicates if the 4th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_4,,This parameter indicates if the 4th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_5,,This parameter indicates if the 5th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_5,,This parameter indicates if the 5th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_5,,This parameter indicates if the 5th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_6,,This parameter indicates if the 6th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_6,,This parameter indicates if the 6th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_6,,This parameter indicates if the 6th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_7,,This parameter indicates if the 7th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_7,,This parameter indicates if the 7th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_7,,This parameter indicates if the 7th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_8,,This parameter indicates if the 8th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_8,,This parameter indicates if the 8th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_8,,This parameter indicates if the 8th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_9,,This parameter indicates if the 9th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_9,,This parameter indicates if the 9th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_ENDC_CAPABLE,0.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_9,,This parameter indicates if the 9th inter frequency RSC report contains at least one cell that is capable of EN-DC.,1,ENUM,EVENT_VALUE_ML_PA_NEIGHBOR_NOT_ENDC_CAPABLE,1.0,,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_1,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 1st inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_10,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 10th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_11,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 11th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_12,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 12th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_13,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 13th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_14,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 14th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_15,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 15th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_16,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 16th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_2,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 2nd inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_3,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 3rd inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_4,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 4th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_5,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 5th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_6,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 6th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_7,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 7th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_8,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 8th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_ENDC_CAPABLE_NEIGHBOR_PHYSICAL_CELL_ID_9,,"The physical cell identity for machine learning  purposes, for the best EN-DC capable cell of the 9th inter frequency RSC report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN,,The EARFCN of the serving frequency.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_1,,The EARFCN for the 1st inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_10,,The EARFCN for the 10th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_11,,The EARFCN for the 11th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_12,,The EARFCN for the 12th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_13,,The EARFCN for the 13th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_14,,The EARFCN for the 14th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_15,,The EARFCN for the 15th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_16,,The EARFCN for the 16th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_2,,The EARFCN for the 2nd inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_3,,The EARFCN for the 3rd inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_4,,The EARFCN for the 4th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_5,,The EARFCN for the 5th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_6,,The EARFCN for the 6th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_7,,The EARFCN for the 7th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_8,,The EARFCN for the 8th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_EARFCN_9,,The EARFCN for the 9th inter frequency RSC that the UE measurement is for.,3,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID,,The frequency identification of the serving frequency.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_1,,The frequency identification of the first frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_10,,The frequency identification of the 10th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_11,,The frequency identification of the 11th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_12,,The frequency identification of the 12th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_13,,The frequency identification of the 13th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_14,,The frequency identification of the 14th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_15,,The frequency identification of the 15th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_16,,The frequency identification of the 16th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_2,,The frequency identification of the second frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_3,,The frequency identification of the third frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_4,,The frequency identification of the fourth frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_5,,The frequency identification of the fifth frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_6,,The frequency identification of the sixth frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_7,,The frequency identification of the seventh frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_8,,The frequency identification of the eigth frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_FREQ_ID_9,,The frequency identification of the 9th frequency from the selected subset of frequencies.,2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_INTER_RSC_WITH_SCELL,,This parameter indicates whether the Report Strongest Cell measurement was configured on the same frequency as configured sCell.,1,ENUM,,,,,
EVENT_PARAM_ML_PA_INTER_RSC_WITH_SCELL,,This parameter indicates whether the Report Strongest Cell measurement was configured on the same frequency as configured sCell.,1,ENUM,EVENT_VALUE_ML_PA_INTER_RSC_WITH_SCELL,0.0,,,
EVENT_PARAM_ML_PA_INTER_RSC_WITH_SCELL,,This parameter indicates whether the Report Strongest Cell measurement was configured on the same frequency as configured sCell.,1,ENUM,EVENT_VALUE_ML_PA_INTER_RSC_WITHOUT_SCELL,1.0,,,
EVENT_PARAM_ML_PA_MEAS_TIMEOUT,,"This parameter indicates whether the sample collection, i.e., measurements were stopped due to timeout once being selected for measurement for machine learning  purposes.",1,ENUM,,,,,
EVENT_PARAM_ML_PA_MEAS_TIMEOUT,,"This parameter indicates whether the sample collection, i.e., measurements were stopped due to timeout once being selected for measurement for machine learning  purposes.",1,ENUM,EVENT_VALUE_ML_PA_TIMEDOUT,0.0,,,
EVENT_PARAM_ML_PA_MOBILITY_PURPOSE,,"This parameter indicates whether the sample collection, i.e., measurements were stopped due to UE is in mobility purpose, e.g., in search zone during measurement",1,ENUM,,,,,
EVENT_PARAM_ML_PA_MOBILITY_PURPOSE,,"This parameter indicates whether the sample collection, i.e., measurements were stopped due to UE is in mobility purpose, e.g., in search zone during measurement",1,ENUM,EVENT_VALUE_ML_PA_UE_MOBILITY_PURPOSE,0.0,,,
EVENT_PARAM_ML_PA_MOBILITY_PURPOSE,,"This parameter indicates whether the sample collection, i.e., measurements were stopped due to UE is in mobility purpose, e.g., in search zone during measurement",1,ENUM,EVENT_VALUE_ML_PA_UE_NOT_MOBILITY_PURPOSE,1.0,,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_1,,"The physical cell identity for machine learning  purposes, for the 1st cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_2,,"The physical cell identity for machine learning  purposes, for the 2nd cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_3,,"The physical cell identity for machine learning  purposes, for the 3rd cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_4,,"The physical cell identity for machine learning  purposes, for the 4th cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_5,,"The physical cell identity for machine learning  purposes, for the 5th cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
EVENT_PARAM_ML_PA_NEIGHBOR_PHYSICAL_CELLID_1_6,,"The physical cell identity for machine learning  purposes, for the 6th cell of the 1st intra-frequency A4 report that the UE measurement is for.",2,UINT,,,1.0,,
