PmEvent Name,Event Id,Event Type,Event Description and Trigger,STANDARDIZED or PROPRIETARY,Event Groups,Message Trace Depth (UE Trace),Interface Classification (UE Trace),DeprecatedSince,ReasonForDeprecation,Periodicity (seconds),SupportedBands,SupportedDeployments,License,LimitationReason,EventStatus
CuCpNgPduSessionResourceModifyConfirm,3174,UE,NGAP PDU SESSION RESOURCE MODIFY CONFIRM message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",Not supported in High-Band SA,USED
CuCpNgPduSessionResourceModifyIndication,3175,UE,NGAP PDU SESSION RESOURCE MODIFY INDICATION message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",Not supported in High-Band SA,USED
CuCpNgPduSessionResourceModifyRequest,3078,UE,PDU SESSION RESOURCE MODIFY REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPduSessionResourceModifyResponse,3079,UE,PDU SESSION RESOURCE MODIFY RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPduSessionResourceNotify,3155,UE,PDU SESSION RESOURCE NOTIFY sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,Status Preliminary,PRELIMINARY
CuCpNgPduSessionResourceReleaseCommand,3080,UE,PDU SESSION RESOURCE RELEASE COMMAND received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPduSessionResourceReleaseResponse,3081,UE,PDU SESSION RESOURCE RELEASE RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPduSessionResourceSetupRequest,3014,UE,PDU SESSION RESOURCE SETUP REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPduSessionResourceSetupResponse,3015,UE,PDU SESSION RESOURCE SETUP RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPwsCancelRequest,3118,CUCP,PWS CANCEL REQUEST message.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgPwsCancelResponse,3119,CUCP,PWS CANCEL RESPONSE message. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgPwsFailureIndication,3147,CUCP,PWS FAILURE INDICATION message. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgPwsRestartIndication,3120,CUCP,PWS RESTART INDICATION message. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgRanConfigurationUpdate,3152,CUCP,RAN CONFIGURATION UPDATE sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgRanConfigurationUpdateAcknowledge,3153,CUCP,RAN CONFIGURATION UPDATE ACKNOWLEDGE received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgRanConfigurationUpdateFailure,3154,CUCP,RAN CONFIGURATION UPDATE FAILURE received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgRerouteNasRequest,3090,UE,REROUTE NAS REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,Status Preliminary,PRELIMINARY
CuCpNgReset,3032,CUCP,NG RESET received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgResetAcknowledge,3033,CUCP,NG RESET ACKNOWLEDGE sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgSetupFailure,3168,CUCP,NG SETUP FAILURE received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgSetupRequest,3166,CUCP,NG SETUP REQUEST sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgSetupResponse,3167,CUCP,NG SETUP RESPONSE received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgTraceFailureIndication,3250,UE,TRACE FAILURE INDICATION message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band",NR SA,,Not verified in High-Band,USED
CuCpNgTraceStart,3248,UE,TRACE START message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgUeContextModificationFailure,3111,UE,UE CONTEXT MODIFICATION FAILURE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeContextModificationRequest,3112,UE,UE CONTEXT MODIFICATION REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeContextModificationResponse,3113,UE,UE CONTEXT MODIFICATION RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeContextReleaseCommand,3034,UE,UE CONTEXT RELEASE COMMAND received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeContextReleaseComplete,3035,UE,UE CONTEXT RELEASE COMPLETE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeContextReleaseRequest,3036,UE,UE CONTEXT RELEASE REQUEST sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeRadioCapabilityCheckRequest,3006,UE,UE RADIO CAPABILITY CHECK REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeRadioCapabilityCheckResponse,3007,UE,UE RADIO CAPABILITY CHECK RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUeRadioCapabilityInfoIndication,3037,UE,UE RADIO CAPABILITY INFO INDICATION sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUplinkNasTransport,3038,UE,UPLINK NAS TRANSPORT sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgUplinkRanConfigurationTransfer,3200,CUCP,UPLINK RAN CONFIGURATION TRANSFER message sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgUplinkRanStatusTransfer,3102,UE,UPLINK RAN STATUS TRANSFER sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgUplinkUeAssociatedNrppaTransport,3216,UE,UPLINK UE ASSOCIATED NRPPA TRANSPORT message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgWriteReplaceWarningRequest,3116,CUCP,WRITE-REPLACE WARNING REQUEST message. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgWriteReplaceWarningResponse,3117,CUCP,WRITE-REPLACE WARNING RESPONSE message. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNrdcInitAccessFail,3274,UE,"Event for failure in initial stages of Secondary Node Addition procedure. Failure can occur due to rejection because of admission control.
",PROPRIETARY,CCTR,"1,2",X2_XN,,,,High-band,"NR SA, CR NR SA",,,USED
CuCpOranA1PolicyCreate,3320,CUCP,Generated for create policy in A1 policy procedure.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpOranA1PolicyDelete,3321,CUCP,Generated for delete policy in A1 policy procedure.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpOranA1PolicyQuery,3323,CUCP,Generated for policy query in A1 policy procedure.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpOranA1PolicyQueryAll,3322,CUCP,Generated for all policy identifiers query in A1 policy procedure.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpOranA1PolicyStatusQuery,3324,CUCP,Generated for policy status query in A1 policy procedure.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpPciConflictDetectedEutra,3335,NRCELL,"New PCI conflict of E-UTRAN cells detected on NRCellCU MO level. In case PCI conflict is resolved and there are other PCI conflicts for this PCI and frequency on NRCellCU MO level, event is also raised.",PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpPciConflictDetectedNr,3336,NRCELL,"New PCI conflict of NR cells detected on NRCellCU MO level. In case PCI conflict is resolved and there are other PCI conflicts for this PCI and frequency on NRCellCU MO level, event is also raised.",PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpPciConflictResolvedEutra,3337,NRCELL,PCI conflict of E-UTRAN cells resolved event is raised when PCI conflict is resolved and there are no more PCI conflicts for this PCI and frequency on NRCellCU MO level.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpPciConflictResolvedNr,3338,NRCELL,PCI conflict of NR cells resolved event is raised when PCI conflict is resolved and there are no more PCI conflicts for this PCI and frequency on NRCellCU MO level.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpPerCellDrbSetup,3209,NRCELL,Number of DRBs set up in NR cell.,PROPRIETARY,CCTR,,,,,5,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpPerCellPduSession,3210,NRCELL,Periodic event for monitoring number of PDU session in NR cell.,PROPRIETARY,CCTR,,,,,5,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpPerCellRrcConnectedUe,3172,NRCELL,Periodic event for monitoring number of RRC connected users in NR cell.,PROPRIETARY,CCTR,,,,,5,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpPerCellRrcInactiveUe,3220,NRCELL,Monitors number of RRC inactive users in an NR cell.,PROPRIETARY,,,,,,5,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State",,USED
CuCpPerCuCpRrcConnectedUe,3171,CUCP,Periodic event used for monitoring number of RRC connected users in gNodeB-CU-CP.,PROPRIETARY,CCTR,,,,,5,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpPerCuCpRrcInactiveUe,3219,CUCP,Monitors number of RRC inactive users in gNodeB-CU-CP.,PROPRIETARY,,,,,,5,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State",,USED
CuCpPerNgPagingRep,3205,CUCP,Received and discarded NGAP PAGING message in gNodeB-CU.,PROPRIETARY,,,,,,1,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpPerNrCellCuCaConfiguredDl,3202,NRCELL,Number of UE instances using this cell as SPCell with configured downlink SCells in gNodeB-CU-CP.,PROPRIETARY,,,,,,5,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpPerRanPagRep,3214,CUCP,Periodic event for monitoring number of RAN PAGING messages.,PROPRIETARY,,,,,,5,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPerTsPeriodEnd,3287,UE,Periodic event for monitoring when a periodic multi-layer coordination timeout occurs.,PROPRIETARY,,"0,1,2",UU,,,TrStSaCellProfileUeCfg::mlcPeriodicInterval,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpPerUeMdtM6UlReport,3231,UE,M6 UPLINK measurement received.,PROPRIETARY,MDT,"0,1,2",UU,,,MdtCellProfileUeCfg::m6ReportInterval,"Low-band, Mid-band, High-band","EN-DC, NR SA","LicenseKeyId: CXC4012564, LicenseMoId: NrMinimizationOfDriveTests, LicenseName: NR Minimization of Drive Tests",,USED
CuCpPerUeMdtReport,3230,UE,M1 measurement received.,STANDARDIZED,MDT,"0,2,3,5",UU,,,MdtCellProfileUeCfg::m1ReportInterval,"Low-band, Mid-band, High-band","EN-DC, NR SA","LicenseKeyId: CXC4012564, LicenseMoId: NrMinimizationOfDriveTests, LicenseName: NR Minimization of Drive Tests",,USED
CuCpPerUeUcmReport,3331,UE,This event represents UE coverage measurement reports received from UE for a single frequency.,STANDARDIZED,,,,,,UcmNrFreqRelProfile::reportConfigPeriodical{reportAmount},"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpPimDetectionReport,3329,NRCELL,Generated for PIM detection result report. Contains PIM aggressor information for each cell.,PROPRIETARY,,,,,,,Low-band,"EN-DC, NR SA",,,USED
CuCpProcA1QosModification,3292,UE,Signals that an A1-induced F1 UE Context QoS Modification procedure was performed.,PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpProcDuInitiatedUeCtxtMod,3169,UE,Request and result information for UE Context Modification Required procedure triggered by gNodeB-DU.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcEndcMnHoKeepSn,3162,UE,Generated for Master Node handover for keeping Secondary Node with the Intra- or Inter-MN Handover without MN-Initiated SN Change procedure. See 3GPP TS 37.340.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcEndcModification,3146,UE,Generated for Secondary gNodeB Modification procedures. Contains information about modification type and result.,PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcEndcPscellChangeIntraSgnbIn,3276,UE,Generated for intra-gNodeB PSCell Change (A3 mobility) procedure in target NRCellCU.  Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcEndcRelease,3073,UE,Generated for EN-DC Release procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcEndcSetup,3074,UE,Generated for EN-DC Setup procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpProcFqdnDnsLookup,3313,CUCP,Monitors DNS lookup procedure of NAPTR DNS query type to resolve FQDN.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpProcInitialCtxtEstab,3022,UE,Generated for Initial Context Setup procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcIpAddressADnsLookup,3314,CUCP,Monitors DNS lookup procedure of type A or AAAA DNS query types that resolve IPv4 and IPv6 addresses.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpProcLocationReporting,3254,UE,"Generated for Location Reporting procedure. Contains information about request and first response.
Following event types are excluded:
          - Stop change of serving cell
          - Stop UE presence in the area of interest
          - Cancel location reporting
Start trigger can be one of the following:
          - Reception of NGAP LOCATION REPORTING CONTROL message
          - Reception of NGAP INITIAL CONTEXT SETUP REQUEST message, including Location Reporting Request Type IE
          - Reception of NGAP HANDOVER REQUEST message, including Location Reporting Request Type IE
Stop trigger can be one of the following:
          Success:
            - Transmission of NGAP LOCATION REPORT message
          Failure:
          - Transmission of NGAP LOCATION REPORTING FAILURE INDICATION message
          - Initial Context Setup procedure failure
          - NG Handover procedure failure
",PROPRIETARY,,"0,1,2",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpProcMnNrdcModification,3245,UE,"Generated for Master Node side of NR-DC to monitor Secondary Node Modification procedures. Modification can be initiated by one of the following nodes:
  - By Master Node, with XnAP S-NODE MODIFICATION REQUEST message.
  - By Secondary Node, with XnAP S-NODE MODIFICATION REQUIRED message.
Contains information about modification type and result.

When initiated for Master Node initiated Secondary Node Modification procedure, the following start and stop triggers apply:
   Start trigger is transmission of XnAP S-NODE MODIFICATION REQUEST.
   If procedure is successful, stop trigger is reception of F1AP UE CONTEXT MODIFICATION RESPONSE (for RCI) after XnAP S-NODE RECONFIGURATION COMPLETE transmission.
   If procedure fails, stop trigger is one of the following options:
         - Reception of XnAP S-NODE MODIFICATION REQUEST REJECT
         - Expiration of TXnDCprep (XnAP S-NODE MODIFICATION REQUEST ACKNOWLEDGE not received)
         - Transmission of XnAP UE CONTEXT RELEASE
         - Transmission of NGAP UE CONTEXT RELEASE REQUEST
         - RRC Reconfiguration failure

When initiated for Secondary Node initiated Secondary Node Modification procedure, the following start and stop triggers apply:
   Start trigger is reception of XnAP S-NODE MODIFICATION REQUIRED.
   If procedure is successful, stop trigger is transmission of XnAP S-NODE MODIFICATION CONFIRM.
   If procedure fails, stop trigger is transmission of XnAP S-NODE MODIFICATION REFUSE.
",PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcMnNrdcRelease,3195,UE,"Generated for Master Node side of NR-DC to monitor Secondary Node Release procedure. Release can be initiated by one of the following nodes:
  - By Master Node, with XnAP UE CONTEXT RELEASE or XnAP S-NODE RELEASE REQUEST message.
  - By Secondary Node, with XnAP S-NODE RELEASE REQUIRED message.
Contains information about request and result.

When initiated by transmission of XnAP UE CONTEXT RELEASE message with no previous XnAP S-NODE RELEASE REQUEST message, trigger is XnAP UE CONTEXT RELEASE message.
No start or stop, event is triggered immediately.

When initiated by transmission of XnAP S-NODE RELEASE REQUEST message, following start and stop triggers apply:
   Start trigger is one of the following messages:
         - E1AP BEARER CONTEXT SETUP REQUEST, sent before transmission of XnAP S-NODE RELEASE REQUEST.
         - E1AP BEARER CONTEXT MODIFICATION REQUEST, sent before transmission of XnAP S-NODE RELEASE REQUEST.
   Stop trigger is reception of one of the following messages in case of success:
         - NGAP PDU SESSION RESOURCE MODIFY CONFIRM.
         - F1AP UE CONTEXT MODIFICATION RESPONSE for reconfiguration confirm indicator.
         - E1AP BEARER CONTEXT MODIFICATION RESPONSE after reception of XnAP SN STATUS TRANSFER.
   Stop trigger is one of the following messages in case of failure:
         - Transmission of NGAP UE CONTEXT RELEASE REQUEST.
         - Reception of XnAP S-NODE RELEASE REJECT.
         - XnAP S-NODE RELEASE REQUEST ACKNOWLEDGE not received.
         - NGAP PDU SESSION RESOURCE MODIFY CONFIRM not received.
         - XnAP SN STATUS TRANSFER not received for RLC AM.
When initiated by reception of XnAP S-NODE RELEASE REQUIRED message, following start and stop triggers apply:
   Start trigger is reception of XnAP S-NODE RELEASE REQUIRED message.
   Stop trigger is reception of the following messages in case of success:
         - NGAP PDU SESSION RESOURCE MODIFY CONFIRM.
         - F1AP UE CONTEXT MODIFICATION RESPONSE for RCI.
         - E1AP BEARER CONTEXT MODIFICATION RESPONSE after reception of XnAP SN STATUS TRANSFER.
   Stop trigger is one of the following procedures in case of failure:
         - Transmission of NGAP UE CONTEXT RELEASE REQUEST.
         - NGAP PDU SESSION RESOURCE MODIFY CONFIRM not received.
         - F1AP UE CONTEXT MODIFICATION RESPONSE for RCI not received.
         - E1AP BEARER CONTEXT MODIFICATION RESPONSE not received after XnAP UE CONTEXT RELEASE.
",PROPRIETARY,CCTR,"0,1,2",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcMnNrdcSNodeChange,3261,UE,"Generated for Master Node side of NR-DC to monitor Secondary Node initiated Secondary Node Change procedure.
Contains information about request and result.
Start trigger is receiving of XnAP S-NODE CHANGE REQUIRED message.
Stop trigger in case of success is reception of one of the following messages:
      - Transmission of XnAP UE CONTEXT RELEASE message
      - Reception of NGAP PDU SESSION RESOURCE MODIFY CONFIRM
      - Reception of F1AP UE CONTEXT MODIFICATION RESPONSE message with RCI
      - Transmission of XnAP SN STATUS TRANSFER message if expected
      - Reception of E1AP BEARER CONTEXT MODIFICATION RESPONSE message in case of intra-cell handover
Stop trigger in case of failure is one of the following options:
      - Transmission of XnAP S-NODE CHANGE REFUSE message to source SgNodeB.
      - Expiry of GNBCUCPFunction.tXnDCprep for XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message not received in SN Change procedure.
      - Transmission of XnAP S-NODE RELEASE REQUEST message to target SgNodeB.
      - Transmission of XnAP UE CONTEXT RELEASE message to target SgNodeB when XnAP S-NODE CHANGE CONFIRM message is sent to source SgNodeB.
",PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcMnNrdcSetup,3196,UE,"Generated for Master Node side of NR-DC to monitor Secondary Node Addition procedure.
Contains information about request and result.
Start trigger is transmission of XnAP S-NODE ADDITION REQUEST message for all procedures.
Stop trigger in case of success:
  - For initial NR-DC UE  setup is one of following options:
      - Reception of E1AP BEARER CONTEXT RELEASE COMPLETE message if only SN-terminated bearers exist
      - Reception of last E1AP BEARER CONTEXT MODIFICATION RESPONSE message if one or more MN-terminated bearers exist
  - For NR-DC UE setup during S-Node Change is:
      - Transmission of XnAP UE CONTEXT RELEASE message
  - For NR-DC UE setup during Master Node inter-gNodeB handover is:
      - Transmission of NGAP HANDOVER NOTIFY message
  - For NR-DC UE setup during Master Node intra-gNodeB and intra-cell handovers is one of following options:
      - Reception of E1AP BEARER CONTEXT RELEASE COMPLETE message if one or more MN-terminated bearers exist in source cell but only SN-terminated bearers exist in target cell
      - Reception of last E1AP BEARER CONTEXT MODIFICATION RESPONSE message if one or more MN-terminated bearers exist in target cell
      - Reception or transmission of one of following messages (whichever occurs last) if only SN-terminated bearers exist in both source and target cells:
          - Reception of F1AP UE CONTEXT MODIFICATION RESPONSE (for RCI) message
          - Reception of NGAP PDU SESSION RESOURCE MODIFY CONFIRM message
          - Transmission of XnAP UE CONTEXT RELEASE message
Stop trigger in case of failure:
  - For initial NR-DC UE setup is one of following options:
      - Reception of XnAP S-NODE ADDITION REQUEST REJECT message
      - XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message is not received
      - Transmission of XnAP UE CONTEXT RELEASE message
      - Transmission of NGAP UE CONTEXT RELEASE REQUEST message
  - For NR-DC UE setup during S-Node Change is one of following options:
      - Transmission of XnAP S-NODE CHANGE REFUSE
      - Reception of XnAP S-NODE ADDITION REQUEST REJECT message
      - XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message is not received
      - Transmission of XnAP UE CONTEXT RELEASE message
      - Transmission of NGAP UE CONTEXT RELEASE REQUEST message
  - For NR-DC UE setup during Master Node inter-gNodeB handover is one of following options:
      - Reception of XnAP S-NODE ADDITION REQUEST REJECT message
      - XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message is not received
      - Transmission of XnAP UE CONTEXT RELEASE message
      - Transmission of NGAP UE CONTEXT RELEASE REQUEST message
      - Transmission of NGAP HANDOVER FAILURE message
   - For NR-DC UE setup during Master Node intra-gNodeB and intra-cell handovers is one of following options:
      - Reception of XnAP S-NODE ADDITION REQUEST REJECT message
      - XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message is not received
      - Transmission of XnAP UE CONTEXT RELEASE message
      - Transmission of NGAP UE CONTEXT RELEASE REQUEST message
",PROPRIETARY,,"0,1,2",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpProcNgSigConnEstab,3024,UE,Generated for NG Signaling Establishment procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpProcNrHoExeIn,3159,UE,Generated for incoming NR Handover Execution procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2","NG, X2_XN, F1",,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpProcNrHoExeOut,3103,UE,Generated for NR Handover Execution procedure. Contains information about request and result.,PROPRIETARY,CCTR,"0,1,2","NG, X2_XN, F1",,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
