Model,MO Class Name,Action,Description,Return Type,Parameter Name,Parameter Description,Data Type,Range and Values,Sequence Length,Deprecated,Obsolete,Precondition,Disturbances,Dependencies,Preliminary
SystemFunctions,BrmBackupManager,createSecuredBackupWithURI,"Creates a new Secure backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is located remotely at some URI.
This action takes optional backup name, uri, uriPassword, optional keyDecryptionKey and userLabel.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.
userLabel is a free text string used to describe the backup details.",int32,userLabel,"Free text to describe the secured backup.
Can be used to identify the key or the password to decrypt the backup during restore.
For example:
""Encrypted System Backup taken on 18-Jun-2019""",string,,1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithPasswd,"Creates a new secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is generated by using the backupPassword.
This action takes optional backup name, backupPassword and userLabel.
userLabel is a free text string used to describe the backup details.",int32,userLabel,"Free text to describe the secured backup.
Can be used to identify the key or the password to decrypt the backup during restore.
For example:
""Encrypted System Backup taken on 18-Jun-2019""",string,,1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithPasswd,"Creates a new secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is generated by using the backupPassword.
This action takes optional backup name, backupPassword and userLabel.
userLabel is a free text string used to describe the backup details.",int32,name,"The Secure Backup name to create.
If specified, input name validation is done by the implementation to forbid illegal names. Backup name validation rules are defined by the implementation and include duplicate backup names, names exceeding maximum allowed length, etc.
If specified it will take precedence over the manualBackupName attribute.

If not specified, the implementation will use the manualBackupName attribute (which could be empty) to generate a backup name automatically with format defined by the implementation, example: <managedElementId>_<YYYY-MM-DDThh-mm-ss>.",string,,0..1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithPasswd,"Creates a new secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is generated by using the backupPassword.
This action takes optional backup name, backupPassword and userLabel.
userLabel is a free text string used to describe the backup details.",int32,backupPassword,The password used to generate the encryption key used to encrypt the backup.,string,,1,,,,,,
SystemFunctions,BrmBackup,restore,"Restore from this backup.
This is an asynchronous action - progress and result are reported in the progressReport attribute.",int32,,,,,,,,,Invoking this action causes board restart and loss of traffic.,,
SystemFunctions,BrmBackup,cancelCurrentAction,Cancel an ongoing asynchronous restore or export operation.,int32,,,,,,,,,,,
SystemFunctions,BrmBackup,export,"Export the backup using the specified resource identifier (uri). 
This is an asynchronous action. Progress and the result are reported in the progressReport attribute. Note: When backup successfully completed, a copy of the backup is transferred and the original backup remains in the ME.",int32,uri,"Specifies url (location) or urn (resource name).
In case of url this is the location where the backup is to be exported.
In case of urn this is the resource name that encapsulates the backup export procedure.
",string,,1,,,,,,
SystemFunctions,BrmBackup,export,"Export the backup using the specified resource identifier (uri). 
This is an asynchronous action. Progress and the result are reported in the progressReport attribute. Note: When backup successfully completed, a copy of the backup is transferred and the original backup remains in the ME.",int32,password,"The password required to access the location specified by the uri.
If no password is required, this parameter may be omitted.",string,,0..1,,,,,,
SystemFunctions,BrmBackup,restoreSecuredBackupWithURI,"Restore the current secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The decryption key is located remotely at some URI.
This action takes uri, uriPassword and optional keyDecryptionKey.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.",int32,uri,"The remote URI location where the encryption key can be obtained from.
For example:
sftp://user@hostname/dir/subdir/key_file",string,,1,,,,,,
SystemFunctions,BrmBackup,restoreSecuredBackupWithURI,"Restore the current secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The decryption key is located remotely at some URI.
This action takes uri, uriPassword and optional keyDecryptionKey.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.",int32,uriPassword,The password for the remote URI where the encryption key file is stored.,string,,1,,,,,,
SystemFunctions,BrmBackup,restoreSecuredBackupWithURI,"Restore the current secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The decryption key is located remotely at some URI.
This action takes uri, uriPassword and optional keyDecryptionKey.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.",int32,keyDecryptionKey,Optional password for the encryption key file in case it is encrypted.,string,,0..1,,,,,,
SystemFunctions,BrmBackup,restoreSecuredBackupWithPasswd,"Restore the current secured backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The backupPassword is used to generate the decryption key used to decrypt any secure parts of the the backup.
This action takes backupPassword.",int32,backupPassword,The backupPassword is used to generate the encryption key used to encrypt the backup.,string,,1,,,,,,
SystemFunctions,BrmRollbackAtRestore,confirmRestore,"Invoking this action indicates acceptance of the previously executed restore operation.
The restore supervision timer, counting down from the initial value indicated by the timeAllowedBeforeRollback attribute, is stopped when this action is invoked. If this action is not invoked before the supervision timer expires, the system is restored to the state it was in before the last restore operation was invoked. This is a synchronous action.",int32,,,,,,,,,,,
SystemFunctions,BrmFailsafeBackup,deactivate,Deactivates failsafe function and the failsafe backup is removed.,int32,postAction,"Optional parameter to perform post deactivate actions.
There are three possible values:
NOP means no operation.
CLEAR_LIST means clear the restoreEscalationList.
ADD_BACKUP_TO_LIST means clear the restoreEscalationList then add the failsafe backup just created to the restoreEscalationList.",enum BrmDeactivatePostAction,"NOP
CLEAR_LIST
ADD_BACKUP_TO_LIST",0..1,,,,,,
SystemFunctions,BrmFailsafeBackup,activate,"Activates a failsafe backup, which is created when this action is invoked.",int32,,,,,,,,,,,
SystemFunctions,CertM,installTrustedCertFromUri,"Installs a trusted certificate from the specified Uniform Resource Identifier (URI).

A TrustedCertificate MO is created as a result of this action.

The action can be invoked if no other action in progress on this MO.
The action returns immediately after invocation. The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,uri,"This parameter contains a URI assumed to point to the certificate file.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
The URI must not contain any password. The password shall be provided in the second parameter of this action.
",string,,1,,,,,,
SystemFunctions,CertM,installTrustedCertFromUri,"Installs a trusted certificate from the specified Uniform Resource Identifier (URI).

A TrustedCertificate MO is created as a result of this action.

The action can be invoked if no other action in progress on this MO.
The action returns immediately after invocation. The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,uriPassword,The password section of the URI.,string,,0..1,,,,,,
SystemFunctions,CertM,installTrustedCertFromUri,"Installs a trusted certificate from the specified Uniform Resource Identifier (URI).

A TrustedCertificate MO is created as a result of this action.

The action can be invoked if no other action in progress on this MO.
The action returns immediately after invocation. The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,fingerprint,"The Secure Hash Algorithm (SHA) fingerprint of the certificate to be installed.

The fingerprint is checked against the fingerprint calculated on the installed file. The hash must be calculated by the SHA algorithm indicated in fingerprintSupport of the CertMCapabilities MO. If the fingerprint check is not required, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,CertM,installTrustedCertFromUri,"Installs a trusted certificate from the specified Uniform Resource Identifier (URI).

A TrustedCertificate MO is created as a result of this action.

The action can be invoked if no other action in progress on this MO.
The action returns immediately after invocation. The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,trustpointInterface,"Address object of an interface, either IPv4 or IPv6.",moRef ManagedObject,,0..1,,,,,,
SystemFunctions,CertM,installTrustedCertFromUri,"Installs a trusted certificate from the specified Uniform Resource Identifier (URI).

A TrustedCertificate MO is created as a result of this action.

The action can be invoked if no other action in progress on this MO.
The action returns immediately after invocation. The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,moId,"Id of TrustedCertificate instance. 
Sets attribute trustedCertificateId. If omitted, values 1, 2, ... are default.
RDN is TrustedCertificate=N.
",string,,0..1,,,,,,
SystemFunctions,CertM,cancel,"Cancels an ongoing action on this MO.

Can be invoked during execution of an action.",boolean,,,,,,,,,,,
SystemFunctions,CertM,downloadCrl,"Downloads the Certificate Revocation List (CRL) files.

CRLs are downloaded from Uniform Resource Identifier (URI) locations indicated by the CRL distribution points extension of the peer certificates at the time specified by the extension. This action allows the MS to trigger a download in the special case when CRLs are published prior to the published update times.

The action can be invoked if no other action is in progress on this MO and returns immediately after invocation. 
The progress of the action can be tracked via the reportProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.",boolean,,,,,,,,,Downloading new CRLs can cause loss of traffic if newly downloaded CRLs contain revocations of trusted certificates used for TLS or IPsec.,,
SystemFunctions,CertM,removeTrustedCert,Removes a trusted certificate.,boolean,trustedCert,The DN of the TrustedCertificate MO to be removed.,moRef TrustedCertificate,,1,,,,,,
SystemFunctions,NodeCredential,cancelEnrollment,"Cancels the enrollment process.

If the enrollment runs in online polling mode, this action stops polling the enrollment server. The enrollment rejects to confirm the PKI response from the enrollment server and releases the generated key-pair. The enrollment fails.",boolean,,,,,,,,,,,
SystemFunctions,NodeCredential,startOnlineEnrollment,"Starts the online enrollment process.

If a vendor credential is not available, a challengePassword must be provided for initial enrollments. Otherwise, the active vendor credential, indicated in the CertM MO, or the existing valid node credential signs the PKI request. 

If the enrollmentSupport attribute of the CertMCapabilities MO indicates that online enrollment is supported, the action can be invoked.

As inputs, the action uses subjectName, keyInfo, enrollmentServerGroup and enrollmentAuthority attributes.

If no other action is in progress on this MO, the action can be invoked and it returns immediately after invocation. 
Action progress can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.",boolean,challengePassword,"The one-time challenge password used as a shared-secret between the ME and the enrollment CA.
",string,,0..1,,,,,,
SystemFunctions,NodeCredential,startOfflineCsrEnrollment,"Starts a manual enrollment procedure. 

Creates a PKCS#10 Certificate Signing Request (CSR) that is stored at the specified local Uniform Resource Identifier URI. A file transfer service can be used to fetch the CSR file from the ME.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline CSR-based enrollment is supported.

The action uses attributes subjectName and keyInfo attributes as inputs.

If no other action is in progress on this MO, the action can be invoked and it returns immediately after invocation. 
The action progress can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has timeout of 3 minutes.",boolean,uri,"This parameter contains a URI assumed to point to the certificate or credential container file. 

The generic Uniform Resource Identifier (URI) syntax is defined by RFC 3986. 
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/file 
The URI must not contain any password. The password shall be provided in the second parameter of this action.
The URI is a remote location sftp://user@hostname/dir/subdir/csr.p10). 


",string,,1,,,,,,
SystemFunctions,NodeCredential,startOfflineCsrEnrollment,"Starts a manual enrollment procedure. 

Creates a PKCS#10 Certificate Signing Request (CSR) that is stored at the specified local Uniform Resource Identifier URI. A file transfer service can be used to fetch the CSR file from the ME.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline CSR-based enrollment is supported.

The action uses attributes subjectName and keyInfo attributes as inputs.

If no other action is in progress on this MO, the action can be invoked and it returns immediately after invocation. 
The action progress can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has timeout of 3 minutes.",boolean,uriPassword,The password section of the Uniform Resource Identifier (URI).,string,,0..1,,,,,,
SystemFunctions,NodeCredential,installCredentialFromUri,"Installs a node credential or certificate from the specified Uniform Resource Identifier (URI).

If the container file is in PKCS#12 format, the action implicitly starts an offline enrollment. If the file is a certificate in Privacy Enhanced Mail (PEM) or Distinguished Encoding Rules (DER) format, this action closes the ongoing offline enrollment process started by the startOfflineCsrEnrollment action.

Chain certificates are imported from PEM formatted file or PKCS#12 container file.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline enrollment is supported.

For a container file in PKCS#12 format, the action can be invoked if there is no other action in progress on this MO, and the URI scheme is a secure file transfer protocol. For a certificate file in PEM or DER format, the action can be invoked if there is a startOfflineCsrEnrollment action in progress on this MO.

The action returns immediately after invocation. The progress of the action can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,uri,"This parameter contains a URI assumed to point to the certificate or credential container file.

The generic Uniform Resource Identifier (URI) syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/file
The URI must not contain any password. The password shall be provided in the second parameter of this action.
",string,,1,,,,,,
SystemFunctions,NodeCredential,installCredentialFromUri,"Installs a node credential or certificate from the specified Uniform Resource Identifier (URI).

If the container file is in PKCS#12 format, the action implicitly starts an offline enrollment. If the file is a certificate in Privacy Enhanced Mail (PEM) or Distinguished Encoding Rules (DER) format, this action closes the ongoing offline enrollment process started by the startOfflineCsrEnrollment action.

Chain certificates are imported from PEM formatted file or PKCS#12 container file.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline enrollment is supported.

For a container file in PKCS#12 format, the action can be invoked if there is no other action in progress on this MO, and the URI scheme is a secure file transfer protocol. For a certificate file in PEM or DER format, the action can be invoked if there is a startOfflineCsrEnrollment action in progress on this MO.

The action returns immediately after invocation. The progress of the action can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,uriPassword,"The password part of the Uniform Resource Identifier (URI).
If password is not required, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,NodeCredential,installCredentialFromUri,"Installs a node credential or certificate from the specified Uniform Resource Identifier (URI).

If the container file is in PKCS#12 format, the action implicitly starts an offline enrollment. If the file is a certificate in Privacy Enhanced Mail (PEM) or Distinguished Encoding Rules (DER) format, this action closes the ongoing offline enrollment process started by the startOfflineCsrEnrollment action.

Chain certificates are imported from PEM formatted file or PKCS#12 container file.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline enrollment is supported.

For a container file in PKCS#12 format, the action can be invoked if there is no other action in progress on this MO, and the URI scheme is a secure file transfer protocol. For a certificate file in PEM or DER format, the action can be invoked if there is a startOfflineCsrEnrollment action in progress on this MO.

The action returns immediately after invocation. The progress of the action can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,credentialPassword,"The password for decrypting the PKCS#12 container file. If the password is not required, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,NodeCredential,installCredentialFromUri,"Installs a node credential or certificate from the specified Uniform Resource Identifier (URI).

If the container file is in PKCS#12 format, the action implicitly starts an offline enrollment. If the file is a certificate in Privacy Enhanced Mail (PEM) or Distinguished Encoding Rules (DER) format, this action closes the ongoing offline enrollment process started by the startOfflineCsrEnrollment action.

Chain certificates are imported from PEM formatted file or PKCS#12 container file.

The action can be invoked if the enrollmentSupport attribute of the CertMCapabilities MO indicates that offline enrollment is supported.

For a container file in PKCS#12 format, the action can be invoked if there is no other action in progress on this MO, and the URI scheme is a secure file transfer protocol. For a certificate file in PEM or DER format, the action can be invoked if there is a startOfflineCsrEnrollment action in progress on this MO.

The action returns immediately after invocation. The progress of the action can be tracked via the enrollmentProgress attribute.

The action returns with TRUE after successful invocation, otherwise it returns with FALSE.
The action has a timeout of 3 minutes.

The generic URI syntax is defined by RFC 3986.
Example: sftp://myuser@myhostname.ericsson.local/dir/subdir/certificate
Example: http://myhostname.ericsson.local/dir/subdir/certificate",boolean,fingerprint,"The Secure Hash Algorithm (SHA) fingerprint of the certificate to be installed. 

The fingerprint is checked against the fingerprint calculated on the installed file. The hash must be calculated by the SHA algorithm indicated in fingerprintSupport of the CertMCapabilities MO. If the password is not required, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,FmFilter,verifyFilter,"A possibility to test whether the defined filter causes suppression or not for an alarm or alert based on the input data.
Enter one or more of the fields additionalText, additionalInfo, source and severity for the alarm or alert.

",enum NotificationState,additionalText,Additional text string for the alarm or alert.,string,,0..1,,,,,,
SystemFunctions,FmFilter,verifyFilter,"A possibility to test whether the defined filter causes suppression or not for an alarm or alert based on the input data.
Enter one or more of the fields additionalText, additionalInfo, source and severity for the alarm or alert.

",enum NotificationState,additionalInfo,Additional info string for the alarm or alert.,string,,0..1,,,,,,
SystemFunctions,FmFilter,verifyFilter,"A possibility to test whether the defined filter causes suppression or not for an alarm or alert based on the input data.
Enter one or more of the fields additionalText, additionalInfo, source and severity for the alarm or alert.

",enum NotificationState,source,The distinguished name of the source of the alarm or alert.,string,,0..1,,,,,,
SystemFunctions,FmFilter,verifyFilter,"A possibility to test whether the defined filter causes suppression or not for an alarm or alert based on the input data.
Enter one or more of the fields additionalText, additionalInfo, source and severity for the alarm or alert.

",enum NotificationState,severity,"Severity value. One of WARNING, MINOR or MAJOR.",string,,0..1,,,,,,
SystemFunctions,HcJob,execute,"Executes health check job.
Executes rules for configured category, and optionally exports report file.

Returns immediately after invocation. Progress can be tracked by progressReport attribute. Action returns error message if it cannot start for some reason, for example because another parallel action is in progress. When action is successfully started, action ID is returned. Action ID is unique for every invocation of the action.

",uint16,exportUri,"URI where job execution output file is to be exported.
URI must not contain file name. File name is specified by lastReportFileName attribute.

Generic URI syntax is defined by RFC 3986.
Example for SFTP: sftp://myuser@myhostname.ericsson.local/dir/subdir/
Example for HTTP: http://myhostname.ericsson.local/dir/subdir/

URI must not contain any password.
The following URIs are possible:
- Local relative, for example data/dir/subdir/
- Local absolute, for example file:///data/dir/subdir/
- Remote, for example sftp://myuser@hostname/dir/subdir/
If URI is local relative, archive reports and log files are stored starting from path specified by attribute localFileStorePath. ",string,,0..1,,,,,,
SystemFunctions,HcJob,execute,"Executes health check job.
Executes rules for configured category, and optionally exports report file.

Returns immediately after invocation. Progress can be tracked by progressReport attribute. Action returns error message if it cannot start for some reason, for example because another parallel action is in progress. When action is successfully started, action ID is returned. Action ID is unique for every invocation of the action.

",uint16,exportPassword,"Password required to access the location specified by URI.
If no password is required, this parameter is ignored. ",string,,0..1,,,,,,
SystemFunctions,HcJob,cancel,"Cancels current HcJob execution.
Returns true if action is accepted, otherwise false is returned.
",boolean,,,,,,,,,,,
SystemFunctions,Lm,refreshLicenseInventory,"Initiates the synchronization of Managed Element's license inventory.

Return value is true if the synchronization succeeded, otherwise false.",boolean,,,,,,,,,,,
SystemFunctions,EmergencyUnlock,activate,"Initiates activation of the Emergency Unlock operational mode.

Return value is true if the activation succeeded, otherwise false.",boolean,,,,,,,,,,,
SystemFunctions,IntegrationUnlock,activate,"Initiates activation of the Integration Unlock operational mode.

Return value is true if the activation succeeded, otherwise false.",boolean,,,,,,,,,,,
SystemFunctions,KeyFileManagement,installKeyFile,"Initiates the key file installation defined by the URI given as a parameter.

The return value is the action Id if the initiation succeeded, otherwise it is 0.

The installation is an asynchronous operation. Progress is reported via attribute reportProgress.",uint16,uri,"The URI of the key file that is to be installed.

The URI shall be a remote source file (for example sftp://myuser@myhostname.ericsson.local/dir/subdir/rbs006.xml).

If user name is needed to access the referenced file then the URI shall include the user name. The URI must not contain password.

The generic URI syntax is defined by RFC 3986.",string,,1,,,,"Installing a new key file may cause loss of traffic, if the required license keys are not included.",,
SystemFunctions,KeyFileManagement,installKeyFile,"Initiates the key file installation defined by the URI given as a parameter.

The return value is the action Id if the initiation succeeded, otherwise it is 0.

The installation is an asynchronous operation. Progress is reported via attribute reportProgress.",uint16,password,"Password to access the referenced file.

If  authentication is not password based, this parameter will be ignored.
",string,,1,,,,"Installing a new key file may cause loss of traffic, if the required license keys are not included.",,
SystemFunctions,LogM,exportEsi,"Used for For Ericsson troubleshooting.
This action causes the system to generate Ericsson Support Information and transfer a file containing this information to a location specified in the uri.
The MS requests ME to collect the information targeted to Ericsson personnel, information such as application log files and in general all kind of files used for troubleshooting and analysis to a predefined storage location; The ECIM Log Management  fragment sends this information to a predefined location.
In case a system is implementing a tool to collect diagnostic information of the MEs of a node, that action can serve as a hook to invoke the retrieval through NBI of all the data collected via this mean. The use case here is for troubleshooting purposes to collect in one action all the available logs and relevant data.

The return value of the action will match the actionId struct member of the progressReport attribute.

e.g.

exportEsi( sftp://myserver.mydomain.com/support/ESI passwd123 CLUSTER)",uint16,uri,"A uniform resource locator describing the file transfer for the ESI file.
(i.e identifying transfer protocol, server and destination directory)
 e.g. sftp://myserver.mydomain.com/support/ESI

The file name is determined by the system",string,,1,,,,,,
SystemFunctions,LogM,exportEsi,"Used for For Ericsson troubleshooting.
This action causes the system to generate Ericsson Support Information and transfer a file containing this information to a location specified in the uri.
The MS requests ME to collect the information targeted to Ericsson personnel, information such as application log files and in general all kind of files used for troubleshooting and analysis to a predefined storage location; The ECIM Log Management  fragment sends this information to a predefined location.
In case a system is implementing a tool to collect diagnostic information of the MEs of a node, that action can serve as a hook to invoke the retrieval through NBI of all the data collected via this mean. The use case here is for troubleshooting purposes to collect in one action all the available logs and relevant data.

The return value of the action will match the actionId struct member of the progressReport attribute.

e.g.

exportEsi( sftp://myserver.mydomain.com/support/ESI passwd123 CLUSTER)",uint16,password,"If credentials are required, the password should be given in here.

 If no credentials are required, this parameter is ignored.",string,,0..1,,,,,,
SystemFunctions,LogM,exportEsi,"Used for For Ericsson troubleshooting.
This action causes the system to generate Ericsson Support Information and transfer a file containing this information to a location specified in the uri.
The MS requests ME to collect the information targeted to Ericsson personnel, information such as application log files and in general all kind of files used for troubleshooting and analysis to a predefined storage location; The ECIM Log Management  fragment sends this information to a predefined location.
In case a system is implementing a tool to collect diagnostic information of the MEs of a node, that action can serve as a hook to invoke the retrieval through NBI of all the data collected via this mean. The use case here is for troubleshooting purposes to collect in one action all the available logs and relevant data.

The return value of the action will match the actionId struct member of the progressReport attribute.

e.g.

exportEsi( sftp://myserver.mydomain.com/support/ESI passwd123 CLUSTER)",uint16,granularity,"Description: Sets the scope of the data collection.
The allowed values are ""small"", ""large"", ""static"", ""refresh"", and ""sp1"". If not given, ""large"" will be assumed.",string,,0..1,,,,,,
SystemFunctions,LogM,exportAvailabilityLog,"This action causes the system to transfer the Availability log to a location defined in the action.
When the model is deployed on certain architectures, there might be ISP (In Service Performance) mechanisms to collect and retrieve data from a system. 

 The return value of the action will match the actionId struct member of the progressReport attribute.",uint16,uri,"An uniform resource locator describing the file transfer for the Availablity log file.
(i.e. idntifying protocol, server and destination directory)
e.g. sftp://myserver.mydomain.com/avli

The file name is determined by the system.",string,,1,,,,,,
SystemFunctions,LogM,exportAvailabilityLog,"This action causes the system to transfer the Availability log to a location defined in the action.
When the model is deployed on certain architectures, there might be ISP (In Service Performance) mechanisms to collect and retrieve data from a system. 

 The return value of the action will match the actionId struct member of the progressReport attribute.",uint16,password,"If credentials are required, the password is filled in here.
If no credentials are required, this parameter is ignored.",string,,0..1,,,,,,
SystemFunctions,LogM,cancel,Action will cancel the current  action invoked on this MO.,void,actionID,"Optional parameter.
If supplied the cancel() action will operate on the selected action. 
If omitted the cancel() action operates on all ongoing actions.",uint16,,0..1,,,,,,
SystemFunctions,Log,export,"Exports this log type to a given destination.
This action will move all log entries into a single ASCII encoded file which is transfered to the destination given in the parameters of the action.",uint16,uri,"A uniform resource locator describing the file transfer for the Log stream file.
(i.e. identifying protocol, server and destination directory)
 e.g. sftp://myserver.mydomain.com/support/LogStreamA

The file name is determined by the system",string,,1,,,,,,
SystemFunctions,Log,export,"Exports this log type to a given destination.
This action will move all log entries into a single ASCII encoded file which is transfered to the destination given in the parameters of the action.",uint16,password,"If credentials are required, the password is filled in here.
If no credentials are required, this parameter is ignored.",string,,0..1,,,,,,
SystemFunctions,Log,cancel,"Action will cancel the current  action invoked on this MO.
",void,actionID,"Optional parameter. 
If supplied the cancel() action will operate on the selected action. 
If omitted the cancel() action operates on all ongoing actions.",enum ActionResultType,"SUCCESS
FAILURE
NOT_AVAILABLE",0..1,,,,,,
SystemFunctions,LteEtcm,export,Export the specification,void,uri,"Locator to the remote destination to which the file is transferred

For example:
sftp://username@host.domain.com/path",string,,1,,,,,,True
SystemFunctions,LteEtcm,export,Export the specification,void,password,"Password.

If the selected file transfer service no not require a password, this parameter can be omitted.",string,,0..1,,,,,,True
SystemFunctions,NrEtcm,export,Export the specification,void,uri,"Locator to the remote destination to which the file is transferred

For example:
sftp://username@host.domain.com/path",string,,1,,,,,,
SystemFunctions,NrEtcm,export,Export the specification,void,password,"Password.

If the selected file transfer service no not require a password, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,NrFtem,export,Export the specification,void,uri,"Locator to the remote destination to which the file is transferred

For example:
sftp://username@host.domain.com/path",string,,1,,,,,,
SystemFunctions,NrFtem,export,Export the specification,void,password,"Password.

If the selected file transfer service no not require a password, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,LtePmEvents,export,Export the specification,void,uri,"Locator to the remote destination to which the file is transferred

For example:
sftp://username@host.domain.com/path",string,,1,,,,,,True
SystemFunctions,LtePmEvents,export,Export the specification,void,password,"Password.

If the selected file transfer service no not require a password, this parameter can be omitted.",string,,0..1,,,,,,True
SystemFunctions,NrPmEvents,export,Export the specification,void,uri,"Locator to the remote destination to which the file is transferred

For example:
sftp://username@host.domain.com/path",string,,1,,,,,,
SystemFunctions,NrPmEvents,export,Export the specification,void,password,"Password.

If the selected file transfer service no not require a password, this parameter can be omitted.",string,,0..1,,,,,,
SystemFunctions,ServerKey,renewKey,"Generates a new key of current type that replaces the current key.

If the key is in use, it takes immediate effect. The distribution of the new public key parts shall be done timely before the key is used at the peers to avoid disruption of the service.",void,,,,,,,,,,,
