PmEvent Name,Event Parameter Name,GPB Field Number,PmEventHeader/Payload,Parameter Description,Parameter Type,MANDATORY,DeprecatedSince,ReasonForDeprecation,UNIT,UsedSubrange,SupportedBands,SupportedDeployments,License,LimitationReason,EventParameterStatus,Filters,Filter Description,Filter DeprecatedSince,Filter ReasonForDeprecation,Filter Status
CuCpF1UeContextReleaseRequest,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextReleaseRequest,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,asn1,3,Payload,ASN.1-encoded UE CONTEXT RELEASE REQUEST message.,Asn1Message,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,nci,4,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,gnb_id_length,5,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,global_gnb_id,6,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,gnb_du_id,7,Payload,The gNodeB Distributed Unit identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextReleaseRequest,serving_plmn_id,8,Payload,"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpF1UeContextSetupFailure,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupFailure,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,asn1,4,Payload,ASN.1-encoded UE CONTEXT SETUP FAILURE message.,Asn1Message,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,nci,5,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,global_gnb_id,6,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,gnb_du_id,7,Payload,The gNodeB Distributed Unit identifier.,int64,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupFailure,serving_plmn_id,8,Payload,"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpF1UeContextSetupRequest,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupRequest,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,asn1,4,Payload,ASN.1-encoded UE CONTEXT SETUP REQUEST message.,Asn1Message,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,nci,5,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,global_gnb_id,6,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,gnb_du_id,7,Payload,The gNodeB Distributed Unit identifier.,int64,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupRequest,serving_plmn_id,8,Payload,"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpF1UeContextSetupResponse,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1UeContextSetupResponse,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,asn1,4,Payload,ASN.1-encoded UE CONTEXT SETUP RESPONSE message.,Asn1Message,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,nci,5,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,global_gnb_id,6,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,gnb_du_id,7,Payload,The gNodeB Distributed Unit identifier.,int64,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED,,,,,
CuCpF1UeContextSetupResponse,serving_plmn_id,8,Payload,"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningRequest,asn1,4,Payload,ASN.1-encoded FIAP WRITE-REPLACE WARNING REQUEST message.,Asn1Message,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpF1WriteReplaceWarningResponse,asn1,4,Payload,ASN.1-encoded FIAP WRITE-REPLACE WARNING RESPONSE message.,Asn1Message,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpIncomingHandoverFailure,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,nci,4,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,serving_plmn_id,6,Payload,"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC
",bytes,N,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,handover_type,7,Payload,"Following handover types are possible:
- Intra-gNodeB, intra-DU
- Intra-gNodeB, inter-DU
- NG
- XN
- IRAT from EPS
- Other
",enum HandoverType,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,failure_cause,8,Payload,Failure cause.,enum FailureCause,Y,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED,,,,,
CuCpIncomingHandoverFailure,emergency_call_ind,9,Payload,Emergency call indication.,enum PmBooleanType,N,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,Status Preliminary,PRELIMINARY,,,,,
CuCpMeasurementConfigurationSa,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpMeasurementConfigurationSa,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size three, where digits 0 to 9 are encoded 0000 to 10001.

Following digits are encoded in an octet:

- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit if needed.

PLMN identity consists of three digits from Mobile Country Code (MCC), followed by one of following combinations:
- In case of a two-digit MNC, one filler digit, plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementConfigurationSa,gnb_id,2,Payload,gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementConfigurationSa,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementConfigurationSa,global_gnb_id,4,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier Encoded as an octet string of size three, where digits 0 to 9 are encoded 0000 to 10001.

Following digits are encoded in an octet:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit if needed.

PLMN identity consists of three digits from Mobile Country Code (MCC), followed by one of following combinations:
- In case of a two-digit MNC, one filler digit, plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementConfigurationSa,nci,5,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementConfigurationSa,measurement_list,6,Payload,List of measurements configured.,repeated <Measurement>,Y,,,,,"Low-band, Mid-band",NR SA,,,USED,,,,,
CuCpMeasurementReportEndcEval,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpMeasurementReportEndcEval,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpMeasurementReportEndcEval,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpMeasurementReportEndcEval,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpMeasurementReportEndcEval,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpMeasurementReportEndcEval,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
